qtl_group	ftp_path
Glom.NephQTL2	../../data-raw/eQTLs_chrAll_40_peers_cis1000kb_Glom.NephQTL2.tsv.bgz
Tube.NephQTL2	../../data-raw/eQTLs_chrAll_50_peers_cis1000kb_Tube.NephQTL2.tsv.bgz
TGP_Cell_lines	../../data-raw/eQTL_FastQTL_results.nominal_pass.allAssociations.MAGE.v1.0.txt.gz
Adipose_Subcutaneous	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Adipose_Subcutaneous.tsv.gz
Adipose_Visceral_Omentum	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Adipose_Visceral_Omentum.tsv.gz
Adrenal_Gland	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Adrenal_Gland.tsv.gz
Artery_Aorta	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Artery_Aorta.tsv.gz
Artery_Coronary	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Artery_Coronary.tsv.gz
Artery_Tibial	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Artery_Tibial.tsv.gz
Brain_Amygdala	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Brain_Amygdala.tsv.gz
Brain_Anterior_cingulate_cortex_BA24	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Brain_Anterior_cingulate_cortex_BA24.tsv.gz
Brain_Caudate_basal_ganglia	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Brain_Caudate_basal_ganglia.tsv.gz
Brain_Cerebellar_Hemisphere	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Brain_Cerebellar_Hemisphere.tsv.gz
Brain_Cerebellum	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Brain_Cerebellum.tsv.gz
